Rank,Title,Username,Rating,Score,Performance,Team
335,,Fabianvera000,1760,10,2103,
336,,ignacioq29,1534,10,1939,
337,,karucs-4563,1989,10,1922,
338,,Motochess,1998,10,1801,
339,,pvazplasen,1819,10,1762,
340,,Alberto11mora,1902,10,1636,
341,,REDLION11,1840,10,1597,
342,,Daniel-2IQ,1376,10,1522,
343,,arturolozoya,2333,10,1520,
344,,elgambitomemero,2207,10,1509,
345,,pablojhona20,1552,10,1506,
346,,CesarNavarro1988,1553,10,1494,
347,,alcabot,1301,10,1487,
348,,Astrodrez,1577,10,1429,
349,,jugigalo,1541,10,1422,
350,,PaganiniChess,1341,10,1407,
351,,JesusMesa12,1153,10,1283,
352,,Danvamp12,1046,10,1259,
353,,Keyito2009,1079,10,1258,
354,,Castillejo1980,1204,10,1238,
355,,santiemiliano9,1187,10,1214,
356,,migueltrjiillordz,978,10,1205,
357,,Malena73,1214,10,1195,
358,,carlos_armijos98,1181,10,1167,
359,,familia_alfil,993,10,1125,
360,,MarcosXGO,1258,10,1082,
361,,larritxapelas,1187,10,1070,
362,,Angelatibagla,1226,9,1233,
363,,Sacrificador_1,1169,9,1109,
364,,osvaldocast,1140,9,1052,
365,,BoginiGypsyQueen,1931,8,1973,
366,,JRchessy,1478,8,1922,
367,,Diegohcasallas,1719,8,1919,
368,,MatiasAjsNemocon,1823,8,1832,
369,,Armenia22,2004,8,1822,
370,,St1v3nt,1535,8,1794,
371,,Reymisterio024,1426,8,1717,
372,,Vega_28,1789,8,1698,
373,,Jumanji012,1673,8,1671,
374,,ruchii_98,1362,8,1622,
375,,DiegoAngeles_2014,1572,8,1565,
376,,fernais,1614,8,1515,
377,,AgusAjedrez,1379,8,1479,
378,,Makein,1337,8,1469,
379,,Juanzx10,1544,8,1420,
380,,Lucas_acostaortegoza,1360,8,1387,
381,,oscarmaximus,1400,8,1339,
382,,Ever_Diaz,911,8,1328,
383,,IanMoone6,1273,8,1285,
384,,AlvaroSabo,1145,8,1252,
385,,Agasichis,1673,8,1214,
386,,Magnolis,1092,8,1147,
387,,Hja_ha,1116,8,1137,
388,,Jericho81,964,8,1134,
389,,STICKRAFTMAPPER,930,8,1094,
390,,Oscarnui,957,8,1076,
391,,Nule7,1228,8,1062,
392,,Galvez_01,847,8,1062,
393,,ChessMagenotMate,1188,8,1056,
394,,CowBoy_Bishop,821,8,1054,
395,,Costan1,1153,8,1040,
396,,EST211_Juan_TM,895,8,1018,
397,,JoseMora28,1840,7,2259,
398,,lichi05,1769,7,1716,
399,,IamAnENIGMA,1216,7,1301,
400,,C73841649MARIO,1286,7,1145,
401,,Adrian_fl,1080,7,1097,
402,,Mottree,1162,7,1079,
403,,Edwing16,1594,6,1719,
404,,andresg9108,1633,6,1634,
405,,S_azur,1506,6,1612,
406,,Marcovian_07,1601,6,1610,
407,,aynof,1451,6,1597,
408,,acolcor,1173,6,1506,
409,,TorreEnfadada,1535,6,1490,
410,,StevenATV,1354,6,1490,
411,,Robertcerati22,1433,6,1487,
412,,tmarcos,1428,6,1455,
413,,KimmyF14,1453,6,1453,
414,,Ronsant,1426,6,1450,
415,,Erdeiby,1350,6,1407,
416,,Vbatfem,1100,6,1405,
417,,Karpov-18,1794,6,1403,
418,,Laauti34,1049,6,1399,
419,,Montes2151,1256,6,1305,
420,,Brayanbd,1930,6,1279,
421,,xNotChileanx,1300,6,1268,
422,,Huevos368,1120,6,1198,
423,,PPerezS,1211,6,1142,
424,,andresxerez,1044,6,1095,
425,,Chosnow,1118,6,1082,
426,,KaspAnish,1027,6,1028,
427,,maisurtia,1004,6,975,
428,,andresTu,873,6,974,
429,,Cuazzo,1059,6,964,
430,,fritovigo,771,6,957,
431,,Alektrik,910,6,931,
432,,Juanchess08,1831,5,1902,
433,,Perolero67,1855,5,1412,
434,,Lorenzotra,1366,5,1337,
435,,nose_XD,1644,5,1316,
436,,ochoagu,1042,5,1186,
437,,epinaco1,1014,5,1112,
438,,David_pelirrojo,2041,4,2210,
439,,umy15298,1939,4,2131,
440,,Lower7,1921,4,2125,
441,,ClaudioCamachoRodrig,1725,4,1938,
442,,cesart22,2409,4,1871,
443,,UnaPerson32,1727,4,1757,
444,,JKNL22,1597,4,1733,
445,,SpeedmanPro,1603,4,1709,
446,,intzin77,1380,4,1618,
447,,Dr_checkmate11,1990,4,1615,
448,,juanmatmw,1706,4,1601,
449,,Alexisjas,1397,4,1592,
450,,zayd89,1936,4,1522,
451,,Tinotin,2080,4,1488,
452,,Dr_Vago,1222,4,1475,
453,,sergi0o04,1347,4,1468,
454,,dragonchess26,1215,4,1400,
455,,diegoartacho,1590,4,1390,
456,,itus88,1933,4,1370,
457,,mlorenzg,1355,4,1366,
458,,RonaldSHZA,1597,4,1357,
459,,hermvillacmiguelupc,1360,4,1344,
460,,CharlieMaster1,1295,4,1341,
461,,JCancino,1518,4,1341,
462,,reyespartano,1667,4,1275,
463,,AbisaiGalicia18,1469,4,1228,
464,,Nachox_07,1292,4,1154,
465,,spiderRedye,1224,4,1145,
466,,yavar01,1142,4,1109,
467,,tgimenez,959,4,1104,
468,,buho121,1141,4,1084,
469,,GambitoPatch,1101,4,1080,
470,,Arthorias26,1281,4,1050,
471,,Jq_999,1015,4,1027,
472,,AdolfoCatral,908,4,995,
473,,luisneyra,901,4,990,
474,,JasonYubini,948,4,957,
475,,IrreconocidoBanG,934,4,929,
476,,MenyLV04,2228,3,2339,
477,,B60919277Fidel,2096,3,2306,
478,,Dark_Killer_Knight,1675,3,1720,
479,,MadaraUchihaaaa,1500,3,1698,
480,,tatakaetatakae,1394,3,1685,
481,,Elias180E,1438,3,1634,
482,,LukeSkywalker1993,2230,3,1608,
483,,dante78delatorre7878,1454,3,1593,
484,,Comorsito06,1792,3,1411,
485,,fgarciae5,942,3,1115,
486,,Jeyckosnuff,972,3,920,
487,,SLion25,1234,3,835,
488,,al_juarismi,2133,2,2502,
489,,Samuel_Maija_Temo,1431,2,2498,
490,,Logarithmus,2274,2,2235,
491,,MichaelWolfff,2126,2,2218,
492,,Edson_Walter,1934,2,2193,
493,,hectormoreno001,1826,2,2098,
494,,Dan_nydaniel,1422,2,2044,
495,,oscar8624,2132,2,2012,
496,,DirkWillemsz,2111,2,1936,
497,,itsuki31,2004,2,1794,
498,,marcos7javier,1750,2,1670,
499,,Trapija,1438,2,1659,
500,,marvella19,1945,2,1658,
501,,Anthonyajedrez,1309,2,1651,
502,,carla1971,1564,2,1636,
503,,EdwinSolano09,1547,2,1626,
504,,fama11235813,1820,2,1625,
505,,Pepeloco22,1361,2,1620,
506,,ChessSpassky,1360,2,1597,
507,,mrshiny,2040,2,1584,
508,,cr1st0ph3r5,1313,2,1511,
509,,GROVERdaniel23,1724,2,1508,
510,,Asiersanta9,1473,2,1465,
511,,arico,1794,2,1444,
512,,joaquinfiori,1131,2,1440,
513,,iJLR02,1476,2,1414,
